200102,猪肉口味,3
201301,番茄酱,6.7
150503,冷藏果粒酸乳,8.9
210501,麦片/粉,27.7
300604,洗衣皂,4.9
301608,软抽纸巾,9.7
120104,花果,9.96
151801,利乐砖纯奶,65
311809,胶棉拖把,70
220703,软糖,10.9
120103,芽菜,2.78
301802,夜用卫生巾,8.9
301804,卫生护垫,11.9
120105,鲜调味,9.6
200201,牛肉口味,17.3
301603,无芯纸,24.9
220111,趣味/休闲,6.9
120302,苹果类,4.98
220201,派,9.7
300602,洗衣液,24.9
201306,甜面/豆瓣酱,3.7
151805,利乐枕纯奶,2.7
201102,生抽酱油,7.9
300801,洗发水,9.5
200701,木耳,89.8
120303,梨类,3.18
120102,根茎,2.56
300802,润发护发,37.9
140301,现制西式糕点,16
301004,婴幼儿护肤用品,1.5
200202,猪肉口味,14.7
130803,现制烙类,1
200603,常规面粉,33.9
200608,杂粮粉,4.58
311704,抹布,9.9
130201,卤制畜类,80
311907,梳子/镜子,15
220901,威化巧克力,8.5
201111,料酒,1.1
220906,果仁巧克力,39.8
100104,猪骨,35
100101,鲜猪肉,29.8
300701,香皂,4.7
210503,芝麻糊,22.7
331901,圆珠笔,2.3
220102,夹心,4.5
120106,菌菇类,5.8
200705,桂圆,19.8
120309,进口水果,15.9
200706,红枣,37.8
150506,冷藏原味鲜乳,12.8
220701,硬糖,4
120101,叶菜,6.56
150502,冷藏加味酸乳,11.9
130801,现制蒸类,6
301606,手帕纸,3
301106,手足保养品,10.9
120201,豆腐,2.96
120307,蕉类,5.96
200902,功能盐,2.8
200105,干脆面,0.5
151503,火锅丸类,32.6
220502,带壳花生,11.8
220401,葡萄干,33.8
110107,贝蛤类,30
120301,柑桔柚类,2
332102,修正液/带,3.3
151806,利乐枕加味奶,2.8
120501,咸菜干货,2
220802,有糖口香糖,10.9
301301,成人牙膏,10.9
230705,乳酸菌饮料,5.5
150505,冷藏营养酸乳,9.9
151803,利乐砖营养奶,62
210111,中老年奶粉,36.5
322701,干电池,4.5
200505,鸡蛋挂面,5.9
230703,纯味酸乳饮,4.9
220601,牛肉干,12.5
152101,新鲜蛋品,19.8
301801,日用卫生巾,3.9
220403,梅,5.5
220699,其他即食熟制品,2.7
220101,苏打,5.7
220302,袋装薯片,3.9
200808,包装汤料,4.9
220513,香瓜子,13.8
220103,威化,8.7
201104,其他酱油,12.9
201303,火锅底料,3.9
120109,其它蔬菜,2
120306,桃/李类,9.96
220902,夹心巧克力,5.3
200709,粉丝/条,5.7
230604,健康机能饮料,4
200904,白砂糖,9.5
200807,调理粉,2.7
210107,全脂奶粉,19.9
130101,凉拌素食,20
200805,香辛粉,3.9
201404,蔬菜,2.7
220801,无糖口香糖,10.4
230401,红茶,2.5
230299,其他纯果汁,4
110302,干货虾蟹贝类,30
300601,洗衣粉,19.9
231601,国产省内香烟,15
120204,豆干豆皮,7.76
220108,粗粮/蔬菜,1.5
150802,冷冻年糕,6.7
200607,杂粮,9.9
200602,袋装白米,39.9
152104,咸蛋,19
150103,块状火腿,5.7
200809,淀/酵/碱粉,2.9
220299,其他糕点,6.9
200101,牛肉口味,2.5
300206,餐具清洁剂,3.9
220208,散称糕点,15.8
230399,其他果汁饮料,4.5
230502,国产矿水,2
210301,咖啡,9.9
230901,国产黄啤,2.5
201106,陈醋,1.7
341206,双人电热毯,69
301303,成人牙刷,14.9
120205,豆类料理,27.2
231201,普通黄酒,12.9
220405,山楂,25.8
300202,洁厕剂,9.9
120313,其它水果,30
201401,榨菜,0.9
210402,奶茶饮品,3
151701,猪肉火腿肠,16.3
220303,罐装薯片,17.9
231404,预调酒,10.5
200301,牛肉口味,5.5
150199,其它肠类,12.9
220301,米制点心,5.9
311801,手套,8
150801,冷冻面食,10.3
221202,无糖休闲食品,28
220399,其他膨化点心,3.3
221003,杯装果冻,5.9
301101,护肤用品,40
201101,老抽酱油,7.9
150105,肉类,4.9
220605,鱼类,1
220514,西瓜子,7.9
220110,简装/压缩,19.8
210106,婴儿辅助食品,4.9
300704,沐浴露,19.9
200903,绵白糖,6.8
220515,南瓜子,8.3
201103,凉拌酱油,1.3
200204,海鲜口味,12.5
200708,干果,22.3
300803,染发用品,108
200806,香辛料,7.3
230101,可乐型,6.9
220905,黑/纯巧克力,7.9
301102,洁面乳,23.9
200501,挂面,8.5
100402,分割鸡件,17.6
200702,银耳,99
220499,其他蜜饯,29.8
151813,利乐砖乳酸菌,5.5
220702,奶糖,9.5
220298,进口糕点,16.9
220305,粟米类,4.3
201107,滴醋,4.8
201008,山茶油/野茶油,87.9
301703,成人纸尿裤,43
220203,蛋卷,4.5
301602,平板纸,5.9
151501,肉片/串类,16.3
332201,固体胶,1.3
201501,八宝粥,3.2
151807,利乐枕营养奶,2.8
220606,海苔,2
311604,保鲜袋,10
230304,植物蛋白饮料,11.3
301609,湿巾纸,7.9
151809,百利包纯奶,2.1
220202,蛋糕,10.5
151099,其它水饺,10.3
210109,营养奶粉,20.9
220204,沙琪玛,14.3
220106,钙奶,3.9
200203,禽肉口味,11.3
201105,香醋,1.3
220607,豆干类,3.9
220799,其他糖果,54
332104,剪刀美工刀,0.5
230704,加味酸乳饮,4.3
201505,肉类罐头,19.9
150504,冷藏乳酸菌,12.9
201109,白醋,2.9
150501,冷藏原味酸乳,11.9
220104,曲奇,5.7
201304,色拉酱,15.9
210705,补钙/铁/锌,81.9
201004,玉米油,87.9
220402,枣,3.7
231701,进口碳酸,7.5
200803,鸡精,7.3
343201,鞋垫,8
200605,饺子粉,19.9
200502,杂粮挂面,6.9
220602,猪肉干,8.9
200704,蔬菜,19.8
220107,酥性,3.7
220999,其他巧克力,37.8
220199,其他饼干,5.5
151299,其它汤圆,14.3
221004,立袋可吸果冻,3.3
220304,薯条,3.3
230201,纯柳橙汁,4.7
331906,记号笔,3.3
221101,进口休闲食品,19.9
311816,杂物筒,4.5
120107,有机蔬菜,5
151302,咸馅包子,19.3
200907,功能糖,9.9
230102,原味型,6.9
230203,纯苹果汁,5.7
300702,功能性香皂,1.9
201405,腐乳,7.9
150101,香肠类,16.5
151199,其它馄饨,7.3
220709,玩具糖,1
220710,棒糖,87.8
100103,猪肉丝馅片,29.8
151804,利乐砖酸酸乳,66
301805,套装卫生巾,7.7
201402,瓜类,7.3
201504,鱼类罐头,16.3
321399,其他季节性电器,38
220506,杏仁,16.9
152103,松花蛋,19.6
220205,中式糕点,9.3
200802,80%味精,1.9
230599,其他水,1.9
221001,果冻/布丁,7.9
100404,调味鸡肉,19.6
311701,钢丝球,4.5
201199,其他液体调料,6.9
220501,核桃/肉,39.8
200601,散称白米,5.58
151902,外送甜面包,17.8
210599,其他冲调食品,3.8
330301,跳绳,6.7
130102,凉拌荤食,35.6
201403,笋类,2.3
220503,去壳花生,23.8
220599,其他炒货,64
200599,其他煮食面/粉,4.9
151301,甜馅包子,19.3
201002,调和油,74.9
151802,利乐砖加味奶,3.5
230701,果味乳饮,10.7
220708,凝胶糖,3
220899,其他口香糖,3.4
200906,冰糖,5.9
210202,包装茶,14.3
300605,去污/干洗剂,7.9
331999,其他笔类,2.3
220206,煎饼,6.5
151704,蔬菜火腿肠,13.9
151201,黑芝麻汤圆,10.3
332099,其他美术用品,2.3
220608,肉松,9.5
230501,国产纯水,3.5
231007,水果酒,15
201302,辣酱,5.9
230301,柳橙饮料,2.9
